2012-07-09	1
2012-07-17	1
2012-08-01	1
2012-09-03	1
2012-09-12	1
2012-09-21	2
2012-09-24	1
2012-09-26	1
2012-09-29	1
2012-10-07	1
2012-10-09	1
2012-10-14	1
2012-10-16	1
2012-10-20	1
2012-11-09	3
2012-12-02	1
2013-01-18	1
2013-01-30	1
2013-01-31	3
2013-02-05	1
2013-02-07	1
2013-02-12	1
2013-03-12	1
2013-03-14	1
2013-03-18	2
2013-03-19	2
2013-03-22	1
2013-04-08	1
2013-04-13	1
2013-04-15	2
2013-04-17	2
2013-04-19	1
2013-04-23	1
2013-04-29	1
2013-05-05	2
2013-05-07	1
2013-05-08	1
2013-05-14	1
2013-05-21	1
2013-05-28	1
2013-06-05	1
2013-06-10	1
2013-06-11	1
2013-06-13	1
2013-06-15	1
2013-06-18	1
2013-06-26	2
2013-06-28	1
2013-06-30	2
2013-07-04	2
2013-07-09	1
2013-07-10	1
2013-07-11	1
2013-07-15	1
2013-07-16	1
2013-07-18	1
2013-07-21	1
2013-07-22	1
2013-07-25	1
2013-07-26	1
2013-08-01	1
2013-08-02	1
2013-08-05	1
2013-08-07	1
2013-08-09	2
2013-08-12	1
2013-08-22	2
2013-08-27	1
2013-08-29	1
2013-09-03	1
2013-09-04	1
2013-09-05	1
2013-09-08	1
2013-09-10	1
2013-09-12	2
2013-09-13	1
2013-09-15	1
2013-09-16	1
2013-09-17	2
2013-09-23	1
2013-09-30	1
2013-10-03	1
2013-10-05	1
2013-10-08	1
2013-10-09	2
2013-10-16	1
2013-10-19	1
2013-10-20	1
2013-10-24	1
2013-10-29	1
2013-11-04	1
2013-11-07	1
2013-11-11	1
2013-11-13	1
2013-11-14	2
2013-11-19	1
2013-11-25	1
2013-11-27	2
2013-11-28	1
2013-11-29	1
2013-12-02	1
2013-12-03	1
2013-12-04	1
2013-12-05	1
2013-12-11	1
2013-12-18	1
2013-12-25	2
2013-12-28	1
2013-12-29	1
2013-12-30	1
2014-01-02	1
2014-01-06	1
2014-01-08	1
2014-01-09	2
2014-01-12	1
2014-01-15	1
2014-01-19	1
2014-01-20	1
2014-01-22	5
2014-01-23	3
2014-01-24	1
2014-01-27	4
2014-01-31	1
2014-02-04	2
2014-02-05	1
2014-02-07	1
2014-02-10	1
2014-02-11	1
2014-02-13	2
2014-02-18	3
2014-02-19	1
2014-02-20	2
2014-02-21	2
2014-02-24	1
2014-02-26	1
2014-02-28	2
2014-03-02	1
2014-03-03	1
2014-03-05	2
2014-03-12	1
2014-03-14	2
2014-03-18	1
2014-03-23	1
2014-03-24	2
2014-03-26	1
2014-03-27	1
2014-03-30	1
2014-04-01	1
2014-04-02	1
2014-04-04	2
2014-04-07	1
2014-04-08	1
2014-04-09	1
2014-04-10	3
2014-04-11	1
2014-04-13	1
2014-04-14	1
2014-04-15	1
2014-04-16	2
2014-04-21	1
2014-04-23	1
2014-04-24	1
2014-04-25	1
2014-05-01	4
2014-05-02	1
2014-05-07	1
2014-05-12	1
2014-05-14	1
2014-05-15	1
2014-05-22	1
2014-05-26	2
2014-05-27	1
2014-06-03	1
2014-06-06	1
2014-06-11	3
2014-06-16	1
2014-06-20	1
2014-06-23	1
2014-06-24	1
2014-06-26	2
2014-07-17	1
2014-07-21	1
2014-07-22	1
2014-08-04	4
2014-08-07	1
2014-08-16	3
2014-08-19	2
2014-08-22	1
2014-08-25	1
2014-08-26	1
2014-08-29	1
2014-09-02	1
2014-09-03	1
2014-09-04	1
2014-09-10	1
2014-09-12	1
2014-09-18	2
2014-09-19	1
2014-09-25	1
2014-09-26	3
2014-09-27	2
2014-09-30	1
2014-10-01	1
2014-10-07	1
2014-10-08	1
2014-10-10	3
2014-10-11	1
2014-10-14	1
2014-10-21	1
2014-10-23	1
2014-11-01	2
2014-11-11	1
2014-11-18	3
2014-11-22	1
2014-11-24	1
2014-11-25	2
2014-11-26	1
2014-11-27	2
2014-12-02	1
2014-12-03	1
2014-12-04	2
2014-12-08	2
2014-12-10	1
2014-12-15	2
2014-12-17	1
2014-12-18	2
2014-12-22	3
2014-12-27	1
2014-12-28	1
2015-01-09	1
2015-01-15	1
2015-01-16	1
2015-01-18	1
2015-01-22	2
2015-01-26	1
2015-01-27	1
2015-01-28	1
2015-01-31	1
2015-02-07	1
2015-02-08	1
2015-02-11	1
2015-02-12	1
2015-02-14	1
2015-02-18	1
2015-02-19	1
2015-02-20	1
2015-02-23	3
2015-02-24	1
2015-02-28	1
2015-03-02	3
2015-03-08	1
2015-03-11	2
2015-03-12	4
2015-03-13	1
2015-03-15	1
2015-03-16	2
2015-03-17	2
2015-03-22	1
2015-03-23	1
2015-03-25	1
2015-03-28	1
2015-03-30	1
